a31,a2,a7a,a7b,a8a,a58,a18,isurban,index,Q1,Q2,Q3,Q4
男,1977,大学专科（正规高等教育）,毕业,不知道,居民户口（以前是非农业户口）,目前从事非农工作,城,25,2,3,1,5
男,1978,大学本科（成人高等教育）,毕业,150000,居民户口（以前是非农业户口）,目前从事非农工作,城,26,1,2,1,5
女,1954,普通高中,毕业,10000,农业户口,目前务农，没有过非农工作,城,27,2,3,1,5
女,1987,初中,毕业,0,其他,目前没有工作，曾经有过非农工作,城,28,2,2,1,5
女,1951,普通高中,毕业,10000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,29,1,2,1,4
男,1984,初中,毕业,70000,农业户口,目前从事非农工作,城,30,2,3,2,5
男,1997,大学本科（正规高等教育）,正在读,0,非农业户口,从未工作过,城,31,2,3,2,4
女,1944,初中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,32,2,1,1,5
男,1962,初中,毕业,24000,居民户口（以前是非农业户口）,目前从事非农工作,城,33,1,2,2,5
男,1988,大学本科（正规高等教育）,毕业,800000,非农业户口,目前从事非农工作,城,34,1,2,1,4
女,1951,初中,毕业,33000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,35,2,3,1,5
女,1991,大学本科（成人高等教育）,正在读,150000,非农业户口,目前从事非农工作,城,36,1,2,1,5
男,1984,初中,肄业,30000,农业户口,目前务农，没有过非农工作,城,37,1,1,1,4
女,1968,小学,辍学和中途退学,0,农业户口,目前从事非农工作,城,38,1,1,1,5
男,1956,普通高中,毕业,1714,非农业户口,目前没有工作，曾经有过非农工作,城,39,1,2,2,5
男,1978,初中,毕业,80000,农业户口,目前从事非农工作,城,40,2,4,2,5
女,1980,大学专科（正规高等教育）,毕业,150000,非农业户口,目前从事非农工作,城,41,2,3,2,4
男,1953,小学,毕业,40000,居民户口（以前是农业户口）,目前从事非农工作,城,42,2,2,1,4
女,1990,大学专科（正规高等教育）,毕业,50000,非农业户口,目前从事非农工作,城,43,2,3,1,4
女,1987,初中,毕业,20000,农业户口,目前从事非农工作,城,44,1,2,2,5
男,1969,大学专科（正规高等教育）,毕业,100000,居民户口（以前是非农业户口）,目前从事非农工作,城,45,2,3,2,5
男,1958,普通高中,毕业,80000,居民户口（以前是非农业户口）,目前从事非农工作,城,46,2,3,2,4
男,1993,大学本科（成人高等教育）,正在读,0,农业户口,目前从事非农工作,城,47,4,2,1,5
女,1948,大学本科（成人高等教育）,毕业,35000,非农业户口,目前没有工作，曾经有过非农工作,城,48,2,2,2,4
男,1986,中专,毕业,36000,居民户口（以前是非农业户口）,目前从事非农工作,城,49,1,3,2,5
女,1958,普通高中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,50,1,2,1,4
男,1986,研究生及以上,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,51,1,2,2,5
男,1980,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,52,2,4,2,5
女,1976,大学本科（正规高等教育）,毕业,1000000,非农业户口,目前从事非农工作,城,53,2,3,2,5
女,1973,初中,辍学和中途退学,拒绝回答,农业户口,目前从事非农工作,城,54,2,2,1,5
女,1987,没有受过任何教育,nan,300000,非农业户口,目前从事非农工作,城,55,1,2,1,4
男,1949,大学专科（成人高等教育）,毕业,2000,非农业户口,目前没有工作，曾经有过非农工作,城,56,1,2,2,5
女,1937,初中,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,57,2,2,2,5
女,1957,初中,毕业,39600,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,58,1,2,1,5
男,1989,普通高中,毕业,36000,居民户口（以前是农业户口）,目前从事非农工作,城,59,2,2,2,4
女,1999,小学,毕业,0,农业户口,从未工作过,城,60,1,1,2,3
女,1963,普通高中,毕业,40000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,61,2,2,2,4
女,1954,初中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,62,1,2,1,4
女,1975,普通高中,辍学和中途退学,40000,居民户口（以前是农业户口）,目前从事非农工作,乡,63,2,3,1,5
男,1962,普通高中,毕业,0,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,64,1,2,2,4
男,1982,大学专科（正规高等教育）,毕业,100000,军籍,目前从事非农工作,城,65,2,3,1,5
女,1977,大学本科（成人高等教育）,毕业,50000,居民户口（以前是农业户口）,目前从事非农工作,城,66,2,2,1,5
男,1988,初中,毕业,30000,农业户口,目前从事非农工作,城,67,1,2,2,4
男,1990,中专,辍学和中途退学,0,农业户口,目前从事非农工作,城,68,1,2,2,5
女,1985,普通高中,毕业,120000,居民户口（以前是农业户口）,目前从事非农工作,城,69,2,3,2,5
女,1987,大学专科（成人高等教育）,毕业,60000,非农业户口,目前没有工作，曾经有过非农工作,城,70,2,2,2,4
女,1971,初中,毕业,12000,居民户口（以前是非农业户口）,目前从事非农工作,城,71,1,1,1,3
男,1962,大学本科（正规高等教育）,毕业,200000,居民户口（以前是非农业户口）,目前从事非农工作,城,72,1,2,1,4
女,1982,中专,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,73,2,2,1,5
男,1951,初中,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,74,1,2,2,4
女,1953,初中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,75,2,2,2,5
男,1969,初中,毕业,25000,农业户口,目前从事非农工作,城,76,1,2,2,4
女,1952,初中,毕业,27600,居民户口（以前是农业户口）,目前没有工作，而且只务过农,城,77,1,2,2,4
男,1961,普通高中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,78,1,2,1,4
女,1985,大学本科（成人高等教育）,毕业,12000,居民户口（以前是农业户口）,目前从事非农工作,城,79,1,2,1,5
女,1968,职业高中,毕业,50000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,80,2,2,1,5
男,1964,大学本科（正规高等教育）,毕业,60000,居民户口（以前是非农业户口）,目前从事非农工作,城,81,2,3,2,4
男,1976,大学专科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,82,2,3,2,5
男,1996,大学专科（正规高等教育）,毕业,80000,居民户口（以前是农业户口）,目前从事非农工作,城,83,2,3,2,4
女,1931,小学,毕业,48000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,84,1,2,2,5
女,1945,大学专科（正规高等教育）,毕业,80400,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,85,2,2,1,4
女,1972,小学,辍学和中途退学,0,农业户口,目前务农，没有过非农工作,城,86,1,1,1,5
女,1937,没有受过任何教育,nan,38400,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,87,1,2,2,5
男,1994,大学本科（正规高等教育）,正在读,不知道,居民户口（以前是非农业户口）,从未工作过,城,88,1,3,2,5
男,1947,初中,毕业,45000,非农业户口,目前没有工作，曾经有过非农工作,城,89,1,2,2,4
女,1977,大学本科（成人高等教育）,毕业,100000,居民户口（以前是农业户口）,目前从事非农工作,城,90,2,3,2,4
女,1964,普通高中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,91,1,2,1,4
男,1967,大学专科（正规高等教育）,毕业,104316,其他,目前从事非农工作,城,92,2,4,2,5
男,1972,初中,毕业,7000,农业户口,目前从事非农工作,城,93,2,3,1,5
男,1949,没有受过任何教育,nan,0,农业户口,目前没有工作，曾经有过非农工作,城,94,1,2,1,4
女,1985,大学专科（正规高等教育）,毕业,50000,非农业户口,目前没有工作，曾经有过非农工作,城,95,1,2,2,3
男,1976,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,96,1,2,2,5
女,1976,大学本科（正规高等教育）,毕业,120000,居民户口（以前是非农业户口）,目前从事非农工作,城,97,2,3,2,4
男,1942,中专,毕业,40000,非农业户口,目前没有工作，曾经有过非农工作,城,98,1,2,1,4
女,1933,没有受过任何教育,nan,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,99,1,2,2,4
女,1979,普通高中,毕业,200000,非农业户口,目前从事非农工作,城,100,2,3,2,4
男,1972,初中,毕业,100000,非农业户口,目前从事非农工作,乡,101,2,3,1,5
女,1972,大学本科（正规高等教育）,毕业,100000,居民户口（以前是农业户口）,目前从事非农工作,城,102,2,3,2,5
男,1956,普通高中,毕业,不知道,非农业户口,目前没有工作，曾经有过非农工作,城,103,2,3,2,5
女,1947,没有受过任何教育,nan,36600,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,104,1,2,2,5
男,1984,中专,毕业,40000,居民户口（以前是非农业户口）,目前从事非农工作,城,105,2,2,2,4
男,1959,中专,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,106,1,2,2,4
男,1991,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,107,2,2,1,5
女,1943,没有受过任何教育,nan,42000,非农业户口,目前没有工作，曾经有过非农工作,城,108,2,2,2,4
女,1946,中专,毕业,44000,没有户口,目前没有工作，曾经有过非农工作,城,109,1,2,2,4
男,1980,研究生及以上,毕业,120000,非农业户口,目前从事非农工作,城,110,2,4,2,5
女,1948,初中,毕业,2800,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,111,1,1,1,5
女,1988,初中,毕业,0,农业户口,目前没有工作，曾经有过非农工作,乡,112,1,1,1,5
男,1992,大学本科（正规高等教育）,毕业,40000,农业户口,目前从事非农工作,城,113,2,3,2,4
女,1982,研究生及以上,毕业,200000,居民户口（以前是非农业户口）,目前从事非农工作,城,114,2,3,2,5
男,1931,普通高中,毕业,66000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,115,2,3,2,5
男,1966,普通高中,毕业,30000,居民户口（以前是农业户口）,目前从事非农工作,城,116,1,2,2,4
男,1946,中专,毕业,56000,非农业户口,目前没有工作，曾经有过非农工作,城,117,2,3,2,5
男,1977,普通高中,毕业,72000,非农业户口,目前从事非农工作,乡,118,1,2,2,4
男,1956,普通高中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,119,1,2,2,4
女,1989,大学本科（正规高等教育）,毕业,60000,农业户口,目前从事非农工作,城,120,2,3,2,4
男,1954,大学本科（正规高等教育）,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,121,2,3,2,4
女,1991,大学专科（正规高等教育）,毕业,80000,非农业户口,目前从事非农工作,城,122,2,3,2,5
女,1959,普通高中,毕业,52800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,123,1,2,2,5
男,1937,初中,毕业,60000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,124,2,3,2,5
男,1957,普通高中,毕业,35000,居民户口（以前是非农业户口）,目前从事非农工作,城,125,2,1,1,5
女,1978,大学本科（正规高等教育）,毕业,80000,非农业户口,目前从事非农工作,城,126,2,3,2,5
女,1987,大学本科（正规高等教育）,毕业,0,非农业户口,目前从事非农工作,城,127,2,2,2,4
男,1978,研究生及以上,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,128,2,3,1,4
女,1935,没有受过任何教育,nan,0,居民户口（以前是非农业户口）,从未工作过,城,129,5,2,2,4
女,1973,普通高中,毕业,0,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,130,1,2,2,5
男,1950,初中,毕业,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,131,2,3,2,4
女,1974,小学,毕业,不知道,农业户口,目前从事非农工作,城,132,1,2,2,4
男,1947,中专,毕业,42000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,133,2,2,2,3
男,1959,普通高中,毕业,60000,非农业户口,目前从事非农工作,城,134,2,2,1,5
男,1983,大学本科（正规高等教育）,毕业,80000,非农业户口,目前从事非农工作,城,135,1,1,1,5
女,1984,大学本科（成人高等教育）,毕业,72000,居民户口（以前是农业户口）,目前从事非农工作,城,136,2,3,2,4
男,1937,大学本科（正规高等教育）,毕业,60000,非农业户口,目前没有工作，曾经有过非农工作,城,137,1,2,1,4
女,1931,大学本科（正规高等教育）,毕业,108000,非农业户口,目前没有工作，曾经有过非农工作,城,138,2,2,2,5
女,1949,大学专科（正规高等教育）,毕业,50400,居民户口（以前是非农业户口）,目前从事非农工作,城,139,1,2,2,4
女,1955,技校,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,140,1,2,1,5
女,1951,初中,辍学和中途退学,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,141,1,1,1,5
女,1952,初中,毕业,29000,居民户口（以前是农业户口）,目前没有工作，而且只务过农,城,142,1,2,2,5
男,1966,初中,辍学和中途退学,31350,居民户口（以前是非农业户口）,目前从事非农工作,城,143,1,2,2,5
女,1987,研究生及以上,毕业,170000,非农业户口,目前从事非农工作,城,144,2,3,2,5
女,1979,普通高中,毕业,拒绝回答,农业户口,目前从事非农工作,城,145,1,2,1,5
男,1976,职业高中,毕业,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,146,2,3,2,4
女,1994,普通高中,辍学和中途退学,36000,农业户口,目前从事非农工作,城,147,2,3,2,4
男,1976,初中,毕业,50000,居民户口（以前是农业户口）,目前从事非农工作,城,148,2,3,2,4
女,1987,大学专科（正规高等教育）,毕业,30000,居民户口（以前是非农业户口）,目前从事非农工作,城,149,1,2,1,3
女,1986,中专,毕业,36000,农业户口,目前从事非农工作,乡,150,2,3,2,5
女,1988,大学专科（正规高等教育）,毕业,40000,非农业户口,目前从事非农工作,城,151,2,2,2,5
女,1948,初中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,152,2,2,2,5
男,1985,大学本科（正规高等教育）,毕业,90000,居民户口（以前是非农业户口）,目前从事非农工作,城,153,2,3,2,5
女,1982,大学本科（正规高等教育）,毕业,70000,非农业户口,目前没有工作，曾经有过非农工作,城,154,2,2,1,4
女,1946,初中,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,155,2,2,2,4
女,1953,初中,毕业,27000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,156,1,2,2,4
女,1954,nan,不知道,不知道,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,157,2,3,2,5
女,1993,大学本科（正规高等教育）,毕业,40000,农业户口,目前从事非农工作,城,158,2,3,2,5
男,1997,普通高中,毕业,0,居民户口（以前是非农业户口）,目前从事非农工作,城,159,1,2,2,5
男,1954,初中,毕业,60000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,160,2,3,1,5
男,1988,中专,毕业,100000,非农业户口,目前从事非农工作,城,161,2,3,2,5
女,1963,研究生及以上,毕业,300000,居民户口（以前是非农业户口）,目前从事非农工作,城,162,1,3,2,5
男,1937,中专,毕业,50000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,163,2,1,1,5
女,1993,中专,毕业,100000,农业户口,目前从事非农工作,城,164,2,3,2,4
女,1983,普通高中,毕业,20000,居民户口（以前是非农业户口）,目前从事非农工作,城,165,1,2,2,4
女,1972,小学,毕业,30000,农业户口,目前务农，曾经有过非农工作,城,166,1,2,1,4
男,1938,中专,毕业,42000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,167,1,2,1,5
女,1981,研究生及以上,毕业,40000,非农业户口,目前没有工作，曾经有过非农工作,城,168,2,3,2,5
女,1977,大学专科（成人高等教育）,毕业,50000,非农业户口,目前从事非农工作,城,169,2,2,2,4
女,1971,大学专科（正规高等教育）,毕业,50000,居民户口（以前是农业户口）,目前从事非农工作,城,170,2,3,2,5
男,1988,大学专科（正规高等教育）,毕业,0,农业户口,目前从事非农工作,城,171,1,1,1,5
男,1977,普通高中,毕业,90000,农业户口,目前从事非农工作,城,172,2,2,2,4
女,1979,大学本科（成人高等教育）,毕业,100000,居民户口（以前是农业户口）,目前从事非农工作,城,173,1,2,2,4
男,1964,普通高中,毕业,30000,农业户口,目前从事非农工作,城,174,2,2,2,4
女,1963,大学专科（成人高等教育）,毕业,52800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,175,1,2,1,5
女,1995,普通高中,辍学和中途退学,0,农业户口,目前没有工作，曾经有过非农工作,乡,176,1,2,2,5
男,1956,研究生及以上,毕业,120000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,177,1,2,1,5
女,1993,大学专科（正规高等教育）,毕业,12000,农业户口,目前从事非农工作,城,178,1,2,2,4
男,1958,大学本科（正规高等教育）,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,179,2,3,1,5
女,1954,大学专科（正规高等教育）,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,180,2,2,2,4
女,1950,小学,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,181,1,2,1,4
女,1940,普通高中,毕业,60000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,182,2,2,1,4
女,1982,初中,毕业,5000,农业户口,从未工作过,城,183,2,1,1,5
男,1979,初中,毕业,10000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,184,1,2,1,4
女,1952,初中,肄业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,185,1,1,2,3
男,1990,大学专科（成人高等教育）,毕业,120000,居民户口（以前是非农业户口）,目前从事非农工作,城,186,2,2,2,4
男,1980,研究生及以上,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,187,2,3,2,4
女,1941,小学,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,188,1,1,1,5
男,1982,研究生及以上,毕业,150000,居民户口（以前是非农业户口）,目前从事非农工作,城,189,2,3,2,5
男,1983,大学专科（正规高等教育）,毕业,60000,居民户口（以前是非农业户口）,目前从事非农工作,城,190,2,3,2,4
男,1933,初中,毕业,45000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,191,2,2,1,5
女,1968,初中,毕业,30000,农业户口,目前从事非农工作,城,192,1,1,1,4
女,1963,初中,毕业,3000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,193,2,2,1,5
男,1959,普通高中,毕业,拒绝回答,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,194,2,2,2,3
女,1994,初中,辍学和中途退学,0,农业户口,目前没有工作，曾经有过非农工作,乡,195,1,1,1,5
女,1937,中专,毕业,60000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,196,2,3,1,5
男,1988,大学专科（成人高等教育）,毕业,30000,居民户口（以前是农业户口）,目前从事非农工作,乡,197,1,2,1,4
男,1982,初中,毕业,50000,农业户口,目前从事非农工作,城,198,1,3,1,4
男,1974,初中,毕业,100000,农业户口,目前从事非农工作,乡,199,1,2,2,4
女,1955,大学专科（成人高等教育）,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,200,2,2,1,4
男,1981,初中,毕业,50000,农业户口,目前从事非农工作,城,201,2,1,1,5
女,1933,初中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,202,2,2,2,4
男,1962,初中,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,203,2,4,1,5
男,1959,普通高中,毕业,0,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,204,1,2,1,5
女,1973,大学本科（正规高等教育）,毕业,28000,居民户口（以前是农业户口）,目前从事非农工作,城,205,2,3,2,4
男,1985,普通高中,毕业,100000,农业户口,目前从事非农工作,城,206,1,2,2,5
女,1963,初中,毕业,23460,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,207,1,2,2,5
男,1959,普通高中,毕业,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,208,2,2,2,5
男,1983,大学本科（正规高等教育）,毕业,500000,居民户口（以前是非农业户口）,目前从事非农工作,城,209,2,2,1,5
男,1991,大学专科（正规高等教育）,毕业,300000,居民户口（以前是非农业户口）,目前从事非农工作,城,210,2,4,2,5
男,1998,大学专科（正规高等教育）,正在读,0,农业户口,从未工作过,城,211,2,2,2,4
女,1952,小学,肄业,21600,居民户口（以前是农业户口）,目前没有工作，而且只务过农,城,212,1,2,2,4
男,1968,初中,毕业,26000,居民户口（以前是农业户口）,目前从事非农工作,城,213,1,2,2,4
女,1953,初中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,214,1,2,1,5
男,1965,大学本科（成人高等教育）,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,215,1,2,1,5
女,1954,初中,毕业,1200,农业户口,目前没有工作，而且只务过农,城,216,1,1,1,5
男,1975,大学专科（成人高等教育）,辍学和中途退学,50000,农业户口,目前从事非农工作,城,217,1,2,3,5
男,1983,大学专科（正规高等教育）,毕业,220000,非农业户口,目前从事非农工作,城,218,1,4,2,5
男,1939,大学本科（正规高等教育）,毕业,70000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,219,1,3,1,5
女,1988,研究生及以上,毕业,80000,非农业户口,目前从事非农工作,城,220,2,3,1,5
男,1972,中专,毕业,48000,农业户口,目前从事非农工作,城,221,1,3,2,4
男,1980,大学专科（成人高等教育）,毕业,60000,非农业户口,目前从事非农工作,城,222,1,2,1,4
男,1973,大学本科（正规高等教育）,毕业,200000,居民户口（以前是非农业户口）,目前从事非农工作,城,223,2,3,2,5
女,1936,私塾、扫盲班,nan,48000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,224,2,2,2,5
男,1982,大学本科（成人高等教育）,毕业,100000,居民户口（以前是非农业户口）,目前从事非农工作,城,225,1,3,2,4
男,1985,大学本科（成人高等教育）,毕业,120000,非农业户口,目前从事非农工作,城,226,2,4,2,5
男,1949,初中,肄业,42000,非农业户口,目前没有工作，曾经有过非农工作,城,227,2,1,1,4
女,1953,中专,毕业,42000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,228,2,2,2,5
男,1967,大学专科（成人高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,229,2,3,1,4
女,1991,大学本科（正规高等教育）,毕业,80000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,230,1,3,1,5
女,1965,中专,毕业,24000,农业户口,目前没有工作，曾经有过非农工作,城,231,1,2,2,4
女,1963,普通高中,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,232,2,2,2,4
男,1985,大学专科（正规高等教育）,毕业,35000,非农业户口,目前没有工作，曾经有过非农工作,城,233,1,4,2,5
男,1971,大学专科（成人高等教育）,毕业,200000,居民户口（以前是非农业户口）,目前从事非农工作,城,234,2,3,1,4
女,1977,研究生及以上,毕业,不知道,居民户口（以前是非农业户口）,目前从事非农工作,城,235,1,3,2,5
女,1955,小学,毕业,20000,农业户口,目前务农，没有过非农工作,城,236,2,2,2,4
男,1977,技校,毕业,20000,非农业户口,目前从事非农工作,城,237,1,2,1,5
男,1984,大学专科（正规高等教育）,毕业,150000,居民户口（以前是非农业户口）,目前从事非农工作,城,238,2,4,2,5
男,1957,大学专科（成人高等教育）,毕业,130000,非农业户口,目前从事非农工作,城,239,1,2,2,5
女,1944,初中,毕业,0,农业户口,目前没有工作，而且只务过农,城,240,1,1,1,4
男,1978,大学本科（正规高等教育）,毕业,250000,非农业户口,目前从事非农工作,城,241,2,3,2,4
男,1977,普通高中,毕业,0,居民户口（以前是非农业户口）,目前从事非农工作,城,242,2,2,2,5
男,1956,初中,毕业,46800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,243,3,2,1,4
女,1988,初中,毕业,10000,农业户口,目前没有工作，曾经有过非农工作,乡,244,1,2,1,5
女,1971,大学专科（正规高等教育）,毕业,120000,农业户口,目前从事非农工作,城,245,2,2,1,4
女,1968,初中,毕业,10000,居民户口（以前是非农业户口）,从未工作过,城,246,2,2,2,5
女,1959,普通高中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,247,2,2,2,4
男,1950,初中,毕业,40000,其他,目前没有工作，曾经有过非农工作,城,248,1,1,1,5
女,1950,初中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,249,1,2,1,4
男,1946,中专,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,250,1,3,1,5
男,1951,初中,毕业,46800,其他,目前没有工作，曾经有过非农工作,城,251,2,2,2,4
女,1957,普通高中,毕业,25000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,252,1,3,2,5
男,1969,没有受过任何教育,nan,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,253,2,3,2,4
女,1963,普通高中,毕业,10000,非农业户口,目前没有工作，曾经有过非农工作,城,254,1,2,2,4
男,1962,大学本科（正规高等教育）,毕业,250000,非农业户口,目前从事非农工作,城,255,2,3,1,5
女,1975,大学本科（正规高等教育）,毕业,72000,居民户口（以前是非农业户口）,目前从事非农工作,城,256,2,3,2,4
女,1947,小学,辍学和中途退学,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,257,2,2,2,5
