a31,a2,a7a,a7b,a8a,a58,a18,isurban,index,Q1,Q2,Q3,Q4
男,1947,初中,毕业,45000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1964,普通高中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,1,3
男,1972,初中,毕业,7000,农业户口,目前从事非农工作,城,,1,2,2,5
女,1985,大学专科（正规高等教育）,毕业,50000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1976,大学本科（正规高等教育）,毕业,120000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
女,1933,没有受过任何教育,nan,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1972,初中,毕业,100000,非农业户口,目前从事非农工作,乡,,2,3,2,4
男,1956,普通高中,毕业,不知道,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1984,中专,毕业,40000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
男,1991,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,,1,2,2,4
女,1946,中专,毕业,44000,没有户口,目前没有工作，曾经有过非农工作,城,,1,1,1,3
女,1948,初中,毕业,2800,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,1,1,5
男,1992,大学本科（正规高等教育）,毕业,40000,农业户口,目前从事非农工作,城,,2,3,2,4
男,1931,普通高中,毕业,66000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,2,5
男,1946,中专,毕业,56000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,2,1,4
男,1956,普通高中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1954,大学本科（正规高等教育）,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,2,4
女,1959,普通高中,毕业,52800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1957,普通高中,毕业,35000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,4
女,1987,大学本科（正规高等教育）,毕业,0,非农业户口,目前从事非农工作,城,,1,2,1,4
女,1935,没有受过任何教育,nan,0,居民户口（以前是非农业户口）,从未工作过,城,,1,2,1,5
男,1950,初中,毕业,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,2,3
男,1947,中专,毕业,42000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1983,大学本科（正规高等教育）,毕业,80000,非农业户口,目前从事非农工作,城,,2,4,2,3
男,1937,大学本科（正规高等教育）,毕业,60000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,3,2,3
女,1949,大学专科（正规高等教育）,毕业,50400,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,2,4
女,1951,初中,辍学和中途退学,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,2,4
男,1966,初中,辍学和中途退学,31350,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,3
女,1979,普通高中,毕业,拒绝回答,农业户口,目前从事非农工作,城,,1,2,1,4
女,1994,普通高中,辍学和中途退学,36000,农业户口,目前从事非农工作,城,,2,2,1,4
女,1987,大学专科（正规高等教育）,毕业,30000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,4
女,1988,大学专科（正规高等教育）,毕业,40000,非农业户口,目前从事非农工作,城,,1,3,1,5
男,1985,大学本科（正规高等教育）,毕业,90000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,5
女,1946,初中,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,3
女,1954,nan,不知道,不知道,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1997,普通高中,毕业,0,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,3,1,5
男,1988,中专,毕业,100000,非农业户口,目前从事非农工作,城,,2,2,1,5
男,1937,中专,毕业,50000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,3
女,1983,普通高中,毕业,20000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,4
男,1938,中专,毕业,42000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,3,2,5
女,1977,大学专科（成人高等教育）,毕业,50000,非农业户口,目前从事非农工作,城,,1,2,1,5
男,1988,大学专科（正规高等教育）,毕业,0,农业户口,目前从事非农工作,城,,1,2,1,5
女,1979,大学本科（成人高等教育）,毕业,100000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,2,2,4
女,1963,大学专科（成人高等教育）,毕业,52800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1956,研究生及以上,毕业,120000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,4,2,3
男,1958,大学本科（正规高等教育）,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
女,1950,小学,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,1,1,5
女,1982,初中,毕业,5000,农业户口,从未工作过,城,,1,1,1,5
女,1952,初中,肄业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,1,1,5
男,1980,研究生及以上,毕业,拒绝回答,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,4,2,3
男,1982,研究生及以上,毕业,150000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,5
男,1933,初中,毕业,45000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1963,初中,毕业,3000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1994,初中,辍学和中途退学,0,农业户口,目前没有工作，曾经有过非农工作,乡,,1,1,1,4
男,1988,大学专科（成人高等教育）,毕业,30000,居民户口（以前是农业户口）,目前从事非农工作,乡,,2,3,1,4
男,1974,初中,毕业,100000,农业户口,目前从事非农工作,乡,,1,2,1,4
男,1981,初中,毕业,50000,农业户口,目前从事非农工作,城,,1,1,1,5
男,1962,初中,毕业,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,1,3
女,1973,大学本科（正规高等教育）,毕业,28000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,2,1,4
女,1963,初中,毕业,23460,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1983,大学本科（正规高等教育）,毕业,500000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,5
男,1998,大学专科（正规高等教育）,正在读,0,农业户口,从未工作过,城,,1,3,1,5
男,1968,初中,毕业,26000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,2,2,5
男,1965,大学本科（成人高等教育）,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1975,大学专科（成人高等教育）,辍学和中途退学,50000,农业户口,目前从事非农工作,城,,2,3,2,4
男,1939,大学本科（正规高等教育）,毕业,70000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,3,2,4
男,1972,中专,毕业,48000,农业户口,目前从事非农工作,城,,2,3,2,4
男,1973,大学本科（正规高等教育）,毕业,200000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,4
男,1982,大学本科（成人高等教育）,毕业,100000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,1,4
男,1949,初中,肄业,42000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,2,2,4
男,1967,大学专科（成人高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,,1,2,1,4
女,1965,中专,毕业,24000,农业户口,目前没有工作，曾经有过非农工作,城,,2,3,1,3
男,1985,大学专科（正规高等教育）,毕业,35000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,3,2,4
女,1977,研究生及以上,毕业,不知道,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,5
男,1977,技校,毕业,20000,非农业户口,目前从事非农工作,城,,1,2,1,4
男,1957,大学专科（成人高等教育）,毕业,130000,非农业户口,目前从事非农工作,城,,1,2,1,4
男,1978,大学本科（正规高等教育）,毕业,250000,非农业户口,目前从事非农工作,城,,1,2,1,4
男,1956,初中,毕业,46800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,2,3
女,1971,大学专科（正规高等教育）,毕业,120000,农业户口,目前从事非农工作,城,,1,4,2,5
女,1959,普通高中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1950,初中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1951,初中,毕业,46800,其他,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1969,没有受过任何教育,nan,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,1,5
男,1962,大学本科（正规高等教育）,毕业,250000,非农业户口,目前从事非农工作,城,,1,3,2,5
女,1947,小学,辍学和中途退学,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,2,4
女,1975,初中,毕业,20000,农业户口,目前从事非农工作,城,,1,2,1,4
女,1925,大学本科（正规高等教育）,毕业,48000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,2,3
女,1976,职业高中,毕业,40000,农业户口,目前从事非农工作,城,,2,4,1,3
男,1990,技校,毕业,30000,居民户口（以前是农业户口）,目前从事非农工作,城,,1,2,1,5
男,1972,普通高中,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,,1,3,2,3
女,1977,初中,毕业,50000,农业户口,目前从事非农工作,城,,1,1,1,4
男,1956,初中,毕业,48000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,3,2,3
男,1969,小学,辍学和中途退学,27000,农业户口,目前从事非农工作,乡,,1,2,1,5
女,1962,初中,毕业,0,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1983,大学专科（正规高等教育）,毕业,100000,农业户口,目前从事非农工作,城,,1,4,2,4
女,1957,普通高中,毕业,120000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1990,中专,毕业,50000,农业户口,目前从事非农工作,城,,1,2,1,4
男,1933,初中,毕业,40000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,4,2,4
女,1996,大学本科（正规高等教育）,正在读,不适用,居民户口（以前是农业户口）,从未工作过,城,,1,2,1,5
女,1965,普通高中,毕业,20000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1990,大学专科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,,2,2,1,4
男,1962,普通高中,毕业,50000,居民户口（以前是农业户口）,目前从事非农工作,城,,2,3,1,4
女,1990,大学本科（正规高等教育）,毕业,66000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
男,1949,初中,毕业,25000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,2,4
男,1981,大学本科（正规高等教育）,毕业,350000,非农业户口,目前从事非农工作,城,,1,2,2,4
女,1954,初中,毕业,50000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1937,技校,毕业,46800,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1956,普通高中,毕业,60000,居民户口（以前是农业户口）,目前从事非农工作,城,,2,3,2,4
女,1993,大学本科（正规高等教育）,毕业,0,农业户口,目前从事非农工作,城,,1,2,1,5
女,1955,初中,毕业,39000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1973,普通高中,毕业,100000,非农业户口,目前从事非农工作,城,,1,2,1,3
男,1992,普通高中,毕业,65000,农业户口,目前从事非农工作,乡,,1,2,1,5
男,1945,大学专科（正规高等教育）,毕业,55200,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,3,1,5
男,1943,初中,毕业,50000,非农业户口,目前从事非农工作,城,,1,2,1,3
男,1995,大学本科（正规高等教育）,毕业,0,非农业户口,目前从事非农工作,城,,2,3,2,4
女,1970,初中,毕业,50000,居民户口（以前是农业户口）,目前从事非农工作,城,,2,4,2,3
男,1974,大学本科（正规高等教育）,毕业,200000,非农业户口,目前从事非农工作,城,,1,3,2,4
男,1950,小学,毕业,50400,居民户口（以前是农业户口）,目前从事非农工作,城,,2,2,1,4
女,1960,职业高中,毕业,40000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,3,2,4
男,1990,研究生及以上,正在读,48000,非农业户口,目前从事非农工作,城,,1,3,1,5
男,1961,大学专科（成人高等教育）,毕业,70000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
女,1994,大学本科（正规高等教育）,毕业,不适用,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,1,5
女,1969,大学本科（成人高等教育）,毕业,200000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,4
男,1959,初中,毕业,0,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,3
男,1954,初中,毕业,28000,农业户口,目前从事非农工作,乡,,1,2,1,4
男,1951,小学,毕业,20000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1968,普通高中,毕业,20000,非农业户口,从未工作过,城,,1,2,1,5
男,1985,普通高中,毕业,50000,非农业户口,目前从事非农工作,乡,,1,2,2,4
男,1958,nan,毕业,30000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,乡,,1,2,1,3
女,1966,没有受过任何教育,nan,20000,农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,3
男,1949,初中,毕业,25000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,3
女,1968,小学,肄业,0,农业户口,目前没有工作，曾经有过非农工作,城,,1,1,1,5
女,1961,普通高中,毕业,30000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1961,小学,辍学和中途退学,15000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,1,1,5
男,1944,初中,辍学和中途退学,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1968,普通高中,毕业,26400,非农业户口,目前从事非农工作,城,,1,2,1,5
男,1951,大学本科（成人高等教育）,毕业,60000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
女,1962,初中,毕业,40000,非农业户口,目前从事非农工作,城,,1,2,1,5
男,1982,大学本科（正规高等教育）,毕业,85000,非农业户口,目前从事非农工作,城,,1,2,1,3
男,1996,大学本科（正规高等教育）,正在读,0,非农业户口,从未工作过,城,,2,2,1,4
男,1949,大学专科（正规高等教育）,毕业,50000,非农业户口,目前从事非农工作,城,,1,2,1,5
男,1942,初中,辍学和中途退学,36000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,3,1,4
女,1967,大学本科（正规高等教育）,毕业,100000,非农业户口,目前从事非农工作,城,,2,3,2,4
女,1989,大学专科（正规高等教育）,毕业,24000,非农业户口,目前从事非农工作,城,,1,2,1,4
女,1981,大学专科（成人高等教育）,毕业,18000,非农业户口,目前从事非农工作,城,,2,3,2,4
男,1971,普通高中,毕业,30000,非农业户口,目前从事非农工作,城,,1,2,1,4
男,1974,大学本科（正规高等教育）,毕业,96000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,3,2,4
男,1985,研究生及以上,毕业,80000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
男,1941,中专,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1982,初中,毕业,100000,农业户口,目前从事非农工作,城,,2,3,2,4
男,1974,职业高中,毕业,40000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,2,4
女,1954,大学专科（成人高等教育）,毕业,70000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,3
女,1969,小学,辍学和中途退学,4000,农业户口,目前从事非农工作,城,,1,2,1,3
女,1927,初中,毕业,7200,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1973,小学,毕业,36000,农业户口,目前从事非农工作,城,,2,2,1,5
男,1952,初中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1953,大学专科（正规高等教育）,毕业,70000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1957,初中,毕业,60000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,3,2,5
女,1958,普通高中,毕业,26400,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,3,1,5
男,1957,大学本科（正规高等教育）,毕业,300000,非农业户口,目前从事非农工作,城,,1,2,1,3
女,1976,大学本科（正规高等教育）,毕业,50000,居民户口（以前是非农业户口）,目前从事非农工作,城,,1,2,2,5
女,1940,大学本科（正规高等教育）,毕业,61200,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1946,大学专科（正规高等教育）,毕业,45000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1986,初中,毕业,30000,农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1979,研究生及以上,毕业,230000,非农业户口,目前从事非农工作,城,,2,3,2,5
女,1993,大学本科（正规高等教育）,毕业,0,非农业户口,目前从事非农工作,城,,2,1,1,3
女,1984,大学专科（正规高等教育）,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,,2,3,1,4
男,1963,普通高中,毕业,拒绝回答,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1964,大学专科（成人高等教育）,毕业,150000,非农业户口,目前从事非农工作,城,,1,3,1,5
女,1963,职业高中,毕业,0,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1929,大学本科（正规高等教育）,毕业,80000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,2,2,4
男,1966,大学本科（正规高等教育）,毕业,96000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,3,2,3
女,1975,大学专科（正规高等教育）,毕业,60000,非农业户口,目前从事非农工作,城,,2,3,1,5
男,1983,初中,毕业,40000,农业户口,目前从事非农工作,城,,1,2,2,5
女,1986,中专,毕业,0,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1944,大学专科（正规高等教育）,毕业,80000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1975,大学本科（成人高等教育）,毕业,240000,非农业户口,目前从事非农工作,城,,1,4,2,5
男,1958,普通高中,毕业,40000,居民户口（以前是非农业户口）,目前从事非农工作,城,,2,2,1,5
男,1992,大学专科（正规高等教育）,毕业,0,非农业户口,目前从事非农工作,城,,2,3,2,5
男,1957,初中,毕业,20000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,3,1,4
男,1953,初中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1945,初中,毕业,24000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,3
男,1963,初中,毕业,24600,非农业户口,目前从事非农工作,城,,1,1,1,4
男,1983,职业高中,毕业,70000,非农业户口,目前从事非农工作,城,,2,2,1,4
男,1957,初中,毕业,60000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,2,2,4
女,1959,技校,毕业,25000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,1,1,5
女,1959,中专,毕业,20000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
男,1959,大学专科（正规高等教育）,毕业,48000,非农业户口,目前从事非农工作,城,,1,2,2,4
女,1932,没有受过任何教育,nan,48000,居民户口（以前是农业户口）,目前没有工作，曾经有过非农工作,城,,1,2,1,2
男,1955,初中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,3
女,1960,普通高中,毕业,30000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1992,没有受过任何教育,nan,50000,非农业户口,目前从事非农工作,城,,1,3,2,4
女,1945,小学,毕业,24000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,5
女,1964,大学专科（正规高等教育）,毕业,200000,非农业户口,目前从事非农工作,城,,2,3,2,4
女,1949,普通高中,毕业,27120,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,2,4
男,1947,初中,毕业,40000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,2
男,1959,普通高中,毕业,40000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,2,1,4
女,1959,初中,辍学和中途退学,29000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,2,3
女,1975,大学专科（正规高等教育）,毕业,20000,非农业户口,目前从事非农工作,城,,1,2,1,3
男,1969,大学专科（成人高等教育）,毕业,50000,非农业户口,目前从事非农工作,城,,2,3,1,5
男,1981,大学专科（成人高等教育）,毕业,20000,非农业户口,目前从事非农工作,城,,2,3,2,5
女,1940,初中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
女,1965,小学,毕业,2000,农业户口,目前从事非农工作,城,,1,1,1,5
女,1940,小学,毕业,6000,非农业户口,从未工作过,城,,1,1,1,5
女,1965,普通高中,毕业,40000,非农业户口,目前从事非农工作,城,,1,2,1,4
女,1974,大学专科（成人高等教育）,毕业,30000,非农业户口,目前从事非农工作,城,,1,2,1,4
男,1957,普通高中,毕业,36000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,3,1,3
男,1970,大学专科（成人高等教育）,毕业,80000,非农业户口,目前从事非农工作,城,,2,3,2,3
女,1936,小学,毕业,24000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,1,1,5
女,1944,普通高中,毕业,32400,非农业户口,目前没有工作，曾经有过非农工作,城,,2,2,2,4
男,1938,大学本科（正规高等教育）,毕业,50000,非农业户口,目前没有工作，曾经有过非农工作,城,,2,3,1,4
女,1941,小学,肄业,37200,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,城,,2,2,2,3
男,1975,大学专科（成人高等教育）,毕业,60000,非农业户口,目前从事非农工作,城,,2,3,1,4
女,1957,初中,不知道,30000,非农业户口,目前没有工作，曾经有过非农工作,城,,1,2,1,4
男,1979,初中,毕业,24000,农业户口,目前从事非农工作,乡,,1,2,1,4
男,1979,大学专科（成人高等教育）,毕业,80000,农业户口,目前从事非农工作,城,,2,3,2,5
女,1959,初中,毕业,1000,农业户口,目前务农，没有过非农工作,乡,,1,1,1,5
男,1998,初中,毕业,12000,农业户口,目前从事非农工作,乡,,1,2,1,5
男,1957,初中,毕业,2000,农业户口,目前务农，没有过非农工作,乡,,1,2,1,5
男,1937,大学本科（成人高等教育）,毕业,24000,居民户口（以前是非农业户口）,目前没有工作，曾经有过非农工作,乡,,2,2,2,3
女,1961,普通高中,辍学和中途退学,0,农业户口,目前务农，没有过非农工作,乡,,1,2,1,3
