Gender,Age,Race,Edu,Inc,Region
female,41,White,High school graduate,"$50,000 to $74,999",rural
male,35,White,Bachelor's degree,"$75,000 to $99,999",urban
female,42,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,50,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,45,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,55,White,"Some college, no degree","$50,000 to $74,999",rural
male,20,Black or African American,"Some college, no degree","$15,000 to $24,999",urban
female,30,Hispanic or Latino,Associate's degree,"$35,000 to $49,999",rural
male,60,White,High school graduate,"$50,000 to $74,999",rural
female,40,Asian,Bachelor's degree,"$100,000 to $149,999",urban
male,48,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,33,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,52,White,High school graduate,"$75,000 to $99,999",rural
female,26,Black or African American,Associate's degree,"$50,000 to $74,999",urban
male,37,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",urban
female,55,White,Graduate or professional degree,"$200,000 or more",rural
male,45,Asian,"Some college, no degree","$50,000 to $74,999",urban
female,32,Black or African American,High school graduate,"$35,000 to $49,999",rural
male,47,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",rural
female,40,White,Bachelor's degree,"$100,000 to $149,999",urban
female,35,White,Bachelor's degree,"$50,000 to $74,999",urban
male,45,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,40,Asian,Bachelor's degree,"$75,000 to $99,999",urban
male,20,White,"Some college, no degree","$15,000 to $24,999",rural
female,60,Black or African American,High school graduate,"$35,000 to $49,999",rural
male,32,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
female,50,White,Bachelor's degree,"$100,000 to $149,999",urban
male,30,Asian,"Some college, no degree","$35,000 to $49,999",urban
female,42,White,"Some college, no degree","$25,000 to $34,999",rural
male,38,Black or African American,High school graduate,"$15,000 to $24,999",rural
female,48,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
male,27,White,Bachelor's degree,"$50,000 to $74,999",urban
female,52,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,33,Asian,Associate's degree,"$75,000 to $99,999",urban
female,37,White,"Some college, no degree","$35,000 to $49,999",urban
male,43,Black or African American,High school graduate,"$25,000 to $34,999",rural
female,29,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
male,47,White,Graduate or professional degree,"$100,000 to $149,999",rural
male,30,White,High school graduate,"$35,000 to $49,999",urban
female,40,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",rural
male,50,Black or African American,"Some college, no degree","$25,000 to $34,999",urban
female,28,Asian,Associate's degree,"$75,000 to $99,999",urban
male,45,White,Graduate or professional degree,"$100,000 to $149,999",rural
female,35,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
male,20,Two or more races,High school graduate,"$10,000 to $14,999",rural
female,60,White,Less than 9th grade,"Less than $10,000",rural
male,56,American Indian and Alaska Native,"Some college, no degree","$35,000 to $49,999",urban
female,75,White,Bachelor's degree,"$50,000 to $74,999",rural
male,32,Black or African American,High school graduate,"$25,000 to $34,999",urban
female,47,Asian,Bachelor's degree,"$75,000 to $99,999",rural
male,29,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",rural
female,27,White,Bachelor's degree,"$100,000 to $149,999",urban
male,40,Black or African American,High school graduate,"$35,000 to $49,999",urban
female,55,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",rural
male,31,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,42,Black or African American,"Some college, no degree","$25,000 to $34,999",rural
male,26,Asian,Bachelor's degree,"$75,000 to $99,999",urban
female,48,White,High school graduate,"$50,000 to $74,999",rural
