Gender,Age,Race,Edu,Inc,Region
female,48,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,38,White,Bachelor's degree,"$100,000 to $149,999",urban
female,57,Black or African American,Associate's degree,"$50,000 to $74,999",rural
male,29,Asian,High school graduate,"$25,000 to $34,999",urban
female,42,Some Other Race,Bachelor's degree,"$75,000 to $99,999",urban
male,31,White,"Some college, no degree","$35,000 to $49,999",rural
female,52,Hispanic or Latino,Graduate or professional degree,"$150,000 to $199,999",urban
male,26,Asian,Associate's degree,"$50,000 to $74,999",rural
male,35,White,Bachelor's degree,"$50,000 to $74,999",urban
female,45,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,50,White,Associate's degree,"$75,000 to $99,999",urban
male,40,Asian,Bachelor's degree,"$100,000 to $149,999",urban
female,60,White,Graduate or professional degree,"$150,000 to $199,999",rural
male,22,Two or more races,"Some college, no degree","$15,000 to $24,999",urban
female,55,White,Bachelor's degree,"$100,000 to $149,999",rural
male,30,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
female,48,Hispanic or Latino,High school graduate,"$50,000 to $74,999",rural
male,27,White,Bachelor's degree,"$50,000 to $74,999",urban
female,38,Asian,"Some college, no degree","$35,000 to $49,999",urban
male,42,White,High school graduate,"$35,000 to $49,999",rural
female,33,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
male,52,White,"Some college, no degree","$35,000 to $49,999",rural
female,58,Hispanic or Latino,High school graduate,"$25,000 to $34,999",rural
male,20,White,"Some college, no degree","$15,000 to $24,999",urban
female,47,Black or African American,Bachelor's degree,"$75,000 to $99,999",rural
male,32,White,Associate's degree,"$50,000 to $74,999",urban
female,68,White,Graduate or professional degree,"$200,000 or more",rural
male,35,White,High school graduate,"$35,000 to $49,999",urban
female,40,Black or African American,"Some college, no degree","$50,000 to $74,999",rural
male,22,Hispanic or Latino,Bachelor's degree,"$25,000 to $34,999",urban
female,50,Asian,"Some college, no degree","$75,000 to $99,999",urban
male,28,White,Associate's degree,"$50,000 to $74,999",urban
female,45,Black or African American,High school graduate,"$35,000 to $49,999",rural
male,30,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",urban
female,60,White,Graduate or professional degree,"$150,000 to $199,999",urban
male,55,Black or African American,"Some college, no degree","$50,000 to $74,999",rural
female,20,Asian,"Some college, no degree","$15,000 to $24,999",urban
male,38,White,Bachelor's degree,"$75,000 to $99,999",urban
female,42,Hispanic or Latino,High school graduate,"$35,000 to $49,999",urban
male,48,Black or African American,Associate's degree,"$50,000 to $74,999",rural
female,33,White,"Some college, no degree","$50,000 to $74,999",urban
male,27,Asian,Bachelor's degree,"$50,000 to $74,999",urban
female,51,Hispanic or Latino,Graduate or professional degree,"$100,000 to $149,999",urban
male,44,White,High school graduate,"$50,000 to $74,999",urban
female,48,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,59,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",urban
female,25,White,"Some college, no degree","$25,000 to $34,999",rural
female,35,White,"Some college, no degree","$35,000 to $49,999",urban
male,42,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
female,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,50,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,19,Asian,"Some college, no degree","$15,000 to $24,999",rural
male,55,White,Bachelor's degree,"$75,000 to $99,999",rural
female,60,White,High school graduate,"$50,000 to $74,999",urban
male,38,Hispanic or Latino,Associate's degree,"$35,000 to $49,999",urban
female,47,White,"Some college, no degree","$50,000 to $74,999",urban
male,45,Black or African American,High school graduate,"$25,000 to $34,999",rural
female,22,Asian,Bachelor's degree,"$50,000 to $74,999",urban
male,30,White,"Some college, no degree","$35,000 to $49,999",rural
female,40,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,57,White,Graduate or professional degree,"$100,000 to $149,999",rural
female,33,Black or African American,High school graduate,"$25,000 to $34,999",urban
male,65,White,Bachelor's degree,"$75,000 to $99,999",urban
female,52,White,Associate's degree,"$50,000 to $74,999",urban
male,20,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",rural
female,48,White,Graduate or professional degree,"$100,000 to $149,999",urban
male,64,White,High school graduate,"$50,000 to $74,999",rural
female,40,White,High school graduate,"$35,000 to $49,999",rural
male,30,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
female,55,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,20,Two or more races,Associate's degree,"$15,000 to $24,999",rural
male,45,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
female,60,White,High school graduate,"$50,000 to $74,999",rural
male,35,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
female,28,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
male,50,White,"Some college, no degree","$35,000 to $49,999",rural
female,22,Asian,High school graduate,"$25,000 to $34,999",urban
male,70,White,Less than 9th grade,"Less than $10,000",rural
female,33,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,38,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
female,48,White,Associate's degree,"$50,000 to $74,999",rural
male,27,Black or African American,High school graduate,"$25,000 to $34,999",urban
female,42,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,32,White,Bachelor's degree,"$50,000 to $74,999",rural
female,44,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,29,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,41,White,"Some college, no degree","$35,000 to $49,999",rural
female,30,White,Bachelor's degree,"$50,000 to $74,999",urban
male,40,Black or African American,High school graduate,"$35,000 to $49,999",rural
female,55,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,20,Asian,"Some college, no degree","$15,000 to $24,999",urban
female,70,White,Graduate or professional degree,"$100,000 to $149,999",rural
male,45,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
female,68,White,High school graduate,"$35,000 to $49,999",rural
male,35,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
female,22,Asian,"Some college, no degree","$25,000 to $34,999",urban
male,60,White,Bachelor's degree,"$100,000 to $149,999",rural
female,50,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,33,White,Associate's degree,"$50,000 to $74,999",rural
male,48,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
female,25,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
male,64,White,Graduate or professional degree,"$150,000 to $199,999",rural
female,56,Black or African American,High school graduate,"$35,000 to $49,999",urban
male,38,Hispanic or Latino,"Some college, no degree","$50,000 to $74,999",urban
female,29,White,Bachelor's degree,"$50,000 to $74,999",rural
male,42,Black or African American,High school graduate,"$35,000 to $49,999",urban
male,35,White,"Some college, no degree","$35,000 to $49,999",urban
female,40,Black or African American,High school graduate,"$25,000 to $34,999",rural
male,22,Hispanic or Latino,Bachelor's degree,"$15,000 to $24,999",urban
female,50,Asian,Graduate or professional degree,"$100,000 to $149,999",urban
male,28,American Indian and Alaska Native,"Some college, no degree","$35,000 to $49,999",rural
female,60,White,High school graduate,"$50,000 to $74,999",urban
male,45,Black or African American,Associate's degree,"$50,000 to $74,999",rural
female,33,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,29,Asian,Bachelor's degree,"$35,000 to $49,999",urban
female,55,White,Graduate or professional degree,"$100,000 to $149,999",rural
male,38,Two or more races,High school graduate,"$35,000 to $49,999",urban
female,20,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
male,44,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
female,49,White,Bachelor's degree,"$75,000 to $99,999",urban
male,30,Asian,Associate's degree,"$50,000 to $74,999",urban
female,39,Hispanic or Latino,High school graduate,"$35,000 to $49,999",rural
male,27,White,"Some college, no degree","$25,000 to $34,999",urban
female,48,Black or African American,Graduate or professional degree,"$100,000 to $149,999",urban
male,31,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",rural
female,52,Asian,"Some college, no degree","$35,000 to $49,999",rural
male,30,White,Bachelor's degree,"$50,000 to $74,999",urban
female,40,Black or African American,High school graduate,"$35,000 to $49,999",rural
male,20,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
female,55,Asian,Associate's degree,"$75,000 to $99,999",urban
male,45,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,35,Black or African American,"Some college, no degree","$25,000 to $34,999",rural
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,50,White,Bachelor's degree,"$100,000 to $149,999",rural
male,39,Asian,"Some college, no degree","$35,000 to $49,999",urban
female,60,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,32,Hispanic or Latino,High school graduate,"$35,000 to $49,999",rural
female,42,White,"Some college, no degree","$50,000 to $74,999",urban
male,22,Asian,"Some college, no degree","$15,000 to $24,999",rural
female,48,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
male,37,Hispanic or Latino,Associate's degree,"$50,000 to $74,999",urban
female,24,White,High school graduate,"$25,000 to $34,999",rural
male,57,Black or African American,Graduate or professional degree,"$150,000 to $199,999",urban
female,33,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,46,White,Bachelor's degree,"$100,000 to $149,999",rural
female,36,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,30,White,High school graduate,"$35,000 to $49,999",rural
female,45,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
female,22,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
male,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,40,Asian,Associate's degree,"$50,000 to $74,999",urban
male,68,White,"Some college, no degree","$35,000 to $49,999",rural
female,28,Black or African American,High school graduate,"$25,000 to $34,999",urban
male,60,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",urban
male,35,White,"Some college, no degree","$50,000 to $74,999",urban
female,50,White,Bachelor's degree,"$75,000 to $99,999",urban
male,20,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
female,42,Black or African American,Associate's degree,"$50,000 to $74,999",urban
male,48,White,Graduate or professional degree,"$150,000 to $199,999",urban
female,38,Asian,Bachelor's degree,"$75,000 to $99,999",urban
male,31,White,"Some college, no degree","$35,000 to $49,999",rural
female,52,Black or African American,High school graduate,"$25,000 to $34,999",urban
male,43,Hispanic or Latino,Bachelor's degree,"$100,000 to $149,999",urban
male,29,White,"Some college, no degree","$50,000 to $74,999",urban
female,39,White,Bachelor's degree,"$75,000 to $99,999",urban
male,27,Hispanic or Latino,"Some college, no degree","$15,000 to $24,999",urban
male,35,White,Bachelor's degree,"$75,000 to $99,999",urban
female,45,Black or African American,"Some college, no degree","$35,000 to $49,999",rural
male,28,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
female,50,White,Associate's degree,"$50,000 to $74,999",rural
male,40,Asian,Bachelor's degree,"$100,000 to $149,999",urban
female,60,White,Graduate or professional degree,"$150,000 to $199,999",urban
male,20,Black or African American,"Some college, no degree","$15,000 to $24,999",rural
female,55,Hispanic or Latino,High school graduate,"$35,000 to $49,999",urban
male,70,White,"Some college, no degree","$50,000 to $74,999",rural
female,32,Asian,Bachelor's degree,"$75,000 to $99,999",urban
male,42,Black or African American,High school graduate,"$35,000 to $49,999",rural
female,38,Hispanic or Latino,"Some college, no degree","$25,000 to $34,999",urban
male,24,White,Bachelor's degree,"$50,000 to $74,999",rural
female,48,Black or African American,Associate's degree,"$75,000 to $99,999",urban
male,30,Asian,"Some college, no degree","$35,000 to $49,999",rural
female,56,Hispanic or Latino,High school graduate,"$25,000 to $34,999",urban
male,65,White,Graduate or professional degree,"$100,000 to $149,999",rural
female,26,Black or African American,Bachelor's degree,"$50,000 to $74,999",urban
male,58,Hispanic or Latino,High school graduate,"$35,000 to $49,999",rural
female,44,White,"Some college, no degree","$75,000 to $99,999",urban
male,30,White,High school graduate,"$35,000 to $49,999",urban
female,40,Black or African American,"Some college, no degree","$50,000 to $74,999",rural
male,22,Hispanic or Latino,Bachelor's degree,"$25,000 to $34,999",urban
male,55,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,28,Asian,"Some college, no degree","$35,000 to $49,999",urban
female,45,White,Associate's degree,"$75,000 to $99,999",rural
male,60,White,High school graduate,"$50,000 to $74,999",rural
female,35,Asian,Bachelor's degree,"$50,000 to $74,999",urban
female,50,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,75,White,Graduate or professional degree,"$150,000 to $199,999",rural
male,18,Hispanic or Latino,Less than 9th grade,"less than $10,000",rural
male,32,White,"Some college, no degree","$50,000 to $74,999",urban
female,42,Black or African American,Associate's degree,"$75,000 to $99,999",urban
male,48,White,Bachelor's degree,"$100,000 to $149,999",rural
female,20,Asian,"Some college, no degree","$15,000 to $24,999",urban
female,38,White,"Some college, no degree","$35,000 to $49,999",urban
male,55,White,High school graduate,"$50,000 to $74,999",rural
female,29,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
female,44,Black or African American,"Some college, no degree","$35,000 to $49,999",urban
male,65,White,Graduate or professional degree,"$100,000 to $149,999",rural
male,35,White,Bachelor's degree,"$50,000 to $74,999",urban
female,45,Hispanic or Latino,"Some college, no degree","$35,000 to $49,999",urban
male,28,Black or African American,High school graduate,"$25,000 to $34,999",urban
female,50,White,Associate's degree,"$75,000 to $99,999",urban
male,60,White,Graduate or professional degree,"$100,000 to $149,999",rural
female,22,Asian,"Some college, no degree","$15,000 to $24,999",urban
male,40,Hispanic or Latino,Bachelor's degree,"$50,000 to $74,999",urban
female,55,White,Bachelor's degree,"$100,000 to $149,999",rural
male,30,Black or African American,"Some college, no degree","$25,000 to $34,999",urban
female,65,White,High school graduate,"$35,000 to $49,999",rural
male,38,White,"Some college, no degree","$35,000 to $49,999",urban
female,48,Black or African American,Associate's degree,"$50,000 to $74,999",urban
male,32,Hispanic or Latino,Bachelor's degree,"$75,000 to $99,999",urban
female,42,White,"Some college, no degree","$25,000 to $34,999",urban
male,20,Asian,High school graduate,"$10,000 to $14,999",urban
female,52,White,Bachelor's degree,"$100,000 to $149,999",rural
male,27,White,"Some college, no degree","$25,000 to $34,999",urban
female,47,Black or African American,Associate's degree,"$50,000 to $74,999",urban
male,33,White,Bachelor's degree,"$75,000 to $99,999",urban
female,56,Hispanic or Latino,High school graduate,"$35,000 to $49,999",rural
female,32,White,"Some college, no degree","$35,000 to $49,999",urban
male,45,Black or African American,Bachelor's degree,"$75,000 to $99,999",urban
female,23,Hispanic or Latino,High school graduate,"$15,000 to $24,999",rural
male,52,White,Graduate or professional degree,"$100,000 to $149,999",urban
female,38,Asian,"Some college, no degree","$50,000 to $74,999",rural
male,29,White,"Some college, no degree","$35,000 to $49,999",urban
female,61,White,High school graduate,"$25,000 to $34,999",rural
male,42,Black or African American,Associate's degree,"$50,000 to $74,999",urban
female,56,White,Bachelor's degree,"$100,000 to $149,999",rural
male,18,Hispanic or Latino,Less than 9th grade,"Less than $10,000",rural
female,47,White,"Some college, no degree","$35,000 to $49,999",urban
male,33,Asian,"Some college, no degree","$35,000 to $49,999",urban
female,62,White,High school graduate,"$25,000 to $34,999",rural
male,39,White,Bachelor's degree,"$75,000 to $99,999",urban
